금융용어
""
BSS
CD(Certificate of deposit)기준금리
가맹점수수료
가산금리
가압류
가중평균차입이자율
가집행
가처분
감정가액
감정평가
갑종근로소득세
개별공시지가
개인신용정보 [Personal Credit Information]
개인신용정보 조회
개인신용조회회사 [CB : Credit Bureau]
개인신용평가시스템
개인워크아웃 [Individual Workout]
거치기간
거치식상환방식
건축물대장
경과일수
경매
고객알기제도 [KYCR : Know Your Customer Rule]
고정금리
공동주택
공정가액
국민주택규모
국채
근저당권
금리
금리리스크 [Interest Rate Risk]
금리인하 요구권
금융사고
금융실명제
금융지주회사 [FHC : Financial Holding Company]
기업여신 신용평가시스템
기한의이익
기한이익상실
나수익률
나우계정
낙성계약
내부자 거래
내부통제
내부회계관리제도 [Internal Accounting Control System]
내제이자율
단기금리
단기매매차익 반환
단독세대주
담보
담보권
담보대출
담보인정비율 [LTV : Loan To Value ratio]
당좌대출
대부업자
"대위변제, 대지급"
대출모집인(대출상담사)
대출채권 연체기준
대출한도
대환대출
등기부
등기부등본
리볼빙
리스
리스 중도해지수수료
리스보증금
리스실행가능일
리스실행일
마이너스 대출
만기연장
만기일시 상환방식
매매
명의이전
무보증잔존가액
무통장입금
물적 담보
반환지연손해금
법정관리
변동금리
보증보험 [Guarantee Insurance]
보증인
부가세(신고서)
부동산
부동산 제휴업체
부분상환금액
부정거래행위
분양
상속인 금융거래조회서비스
상장
상환
서민금융119서비스
선순위상환
선취
세대주
소득증빙서류
소액보증금
손해배상액
수익증권
수익증권 저축
시설대여
시장리스크 [Market Risk]
신용거래 융자 [Loans on Margin Account]
신용공여한도제도 [Credit Ceiling System]
신용등급
신용위험
신용정보집중기관 [Credit Information Collection Agency]
신용조회
신용회복지원제도 [Credit Recovery Support Procedures]
압류
양도
여신금융기관
여신업무
여신전문금융업
연금소득
연대보증
염가구매선택권
예수금
옴부즈만 제도
우발채무
원리금균등분할상환방식
위임장
유예상품
이자소득
이자율
이자율 최고한도
인감증명서
인적 담보
임대주택(임대아파트)
임대차계약(서)
자동이체
자영업자
자회사
잔존가치
재산세납부자
재직증명서
저당권
전화금융사기 [Voice Phishing]
정책자금대출
종합소득
종합소득금액확인서류
주택담보대출유동화증권 [MBS : Mortgage Backed Securities]
중도상환수수료
질권설정
집단대출
채권최고액
채권추심업무 [Debt Collection Activities]
채무관계인
채무자
채무재조정 [Debt-Restructuring]
총부채상환비율 [DTI : Debt To Income ratio]
추심
취급수수료
취득세
토지대장
투기지역
팩토링금융
할부금상환방법
할부금융
할인어음
핵심설명서
화의
확정일자
확정채무
회사채
